Date,uncertainty
,98.6
2003-11-30,96.9
2003-12-31,92.8
2004-01-31,94.5
2004-02-29,90
2004-03-31,98.2
2004-04-30,101.9
2004-05-31,94.7
2004-06-30,93.6
2004-07-31,94.6
2004-08-31,91.8
2004-09-30,93.6
2004-10-31,89.5
2004-11-30,91.9
2004-12-31,89.8
2005-01-31,93.1
2005-02-28,90.8
2005-03-31,91.4
2005-04-30,98.3
2005-05-31,99.6
2005-06-30,100.4
2005-07-31,99.8
2005-08-31,99.3
2005-09-30,95.4
2005-10-31,92.3
2005-11-30,97.4
2005-12-31,89.4
2006-01-31,93.4
2006-02-28,89
2006-03-31,92.3
2006-04-30,90.1
2006-05-31,98
2006-06-30,94.1
2006-07-31,93.5
2006-08-31,94
2006-09-30,96.4
2006-10-31,98.5
2006-11-30,91.7
2006-12-31,97.7
2007-01-31,91.8
2007-02-28,97
2007-03-31,91.5
2007-04-30,95.5
2007-05-31,96.8
2007-06-30,89.3
2007-07-31,88.4
2007-08-31,96.2
2007-09-30,96.2
2007-10-31,97.2
2007-11-30,96.3
2007-12-31,92.1
2008-01-31,99.3
2008-02-29,98
2008-03-31,97.4
2008-04-30,95.1
2008-05-31,92.3
2008-06-30,91.9
2008-07-31,92.4
2008-08-31,90.5
2008-09-30,98.7
2008-10-31,132.4
2008-11-30,128.2
2008-12-31,121.8
2009-01-31,120
2009-02-28,123.6
2009-03-31,125.6
2009-04-30,117.1
2009-05-31,111.8
2009-06-30,109.1
2009-07-31,109
2009-08-31,106.8
2009-09-30,109
2009-10-31,106
2009-11-30,101.9
2009-12-31,99.5
2010-01-31,103.2
2010-02-28,104.2
2010-03-31,96.7
2010-04-30,96.9
2010-05-31,103.5
2010-06-30,101.2
2010-07-31,96.4
2010-08-31,98.1
2010-09-30,98.9
2010-10-31,97.7
2010-11-30,101.5
2010-12-31,94.8
2011-01-31,96.4
2011-02-28,96.8
2011-03-31,97.1
2011-04-30,97.1
2011-05-31,94.1
2011-06-30,96.7
2011-07-31,96.3
2011-08-31,111.6
2011-09-30,108.4
2011-10-31,105.2
2011-11-30,1900-04-16 00:00:00
2011-12-31,1900-04-14 16:48:00
2012-01-31,102.8
2012-02-29,96.9
2012-03-31,95.4
2012-04-30,97.8
2012-05-31,101.6
2012-06-30,106.3
2012-07-31,105.6
2012-08-31,98.8
2012-09-30,97.5
2012-10-31,96.3
2012-11-30,93.4
2012-12-31,94.8
2013-01-31,95.6
2013-02-28,91.5
2013-03-31,92.6
2013-04-30,91.5
2013-05-31,90.7
2013-06-30,94.6
2013-07-31,93.8
2013-08-31,88.7
2013-09-30,92.2
2013-10-31,90.7
2013-11-30,85.1
2013-12-31,85.1
2014-01-31,89.3
2014-02-28,93.9
2014-03-31,96.4
2014-04-30,94.3
2014-05-31,88.3
2014-06-30,93.3
2014-07-31,90.5
2014-08-31,96
2014-09-30,96.9
2014-10-31,97.3
2014-11-30,97.2
2014-12-31,95
2015-01-31,99
2015-02-28,97.4
2015-03-31,109.2
2015-04-30,103.6
2015-05-31,105.1
2015-06-30,105.7
2015-07-31,118.4
2015-08-31,126.6
2015-09-30,136.8
2015-10-31,121
2015-11-30,112.9
2015-12-31,117
2016-01-31,113.6
2016-02-29,115.5
2016-03-31,123.3
2016-04-30,128.3
2016-05-31,120.7
2016-06-30,119.7
2016-07-31,117.7
2016-08-31,112
2016-09-30,110.7
2016-10-31,114
2016-11-30,116.2
2016-12-31,123.2
2017-01-31,113.9
2017-02-28,108.3
2017-03-31,111.9
2017-04-30,109.2
2017-05-31,116.6
2017-06-30,124
2017-07-31,119.8
2017-08-31,112.1
2017-09-30,107.1
2017-10-31,103.8
2017-11-30,103.1
2017-12-31,106.1
2018-01-31,105.4
2018-02-28,104.3
2018-03-31,111.3
2018-04-30,116.4
2018-05-31,119.7
2018-06-30,127.7
2018-07-31,115.7
2018-08-31,114.2
2018-09-30,121.5
2018-10-31,110.3
2018-11-30,111.7
2018-12-31,113
2019-01-31,111.5
2019-02-28,111.3
2019-03-31,109.2
2019-04-30,117.3
2019-05-31,119.5
2019-06-30,119.1
2019-07-31,108.4
2019-08-31,114.2
2019-09-30,116.9
2019-10-31,111.1
2019-11-30,105.1
2019-12-31,112.4
2020-01-31,112.9
2020-02-29,115.1
2020-03-31,167.1
2020-04-30,210.5
2020-05-31,190.3
2020-06-30,173.6
2020-07-31,163.7
2020-08-31,160.3
2020-09-30,145.8
2020-10-31,143.8
2020-11-30,145.8
2020-12-31,142.3
2021-01-31,137.4
2021-02-28,128.2
2021-03-31,136.5
2021-04-30,129.4
2021-05-31,119.9
2021-06-30,122.3
2021-07-31,119.3
2021-08-31,119.6
2021-09-30,131.4
2021-10-31,127.1
2021-11-30,125.2
2021-12-31,118.7
2022-01-31,116.4
2022-02-28,117.1
2022-03-31,121.3
2022-04-30,114.9
2022-05-31,116.9
2022-06-30,120.6
2022-07-31,120.8
2022-08-31,116.6
2022-09-30,111.7
2022-10-31,112
2022-11-30,112.1
2022-12-31,112.7
2023-01-31,113.3
2023-02-28,111.7
2023-03-31,116.7
2023-04-30,112.6
2023-05-31,111.8
2023-06-30,107.6
2023-07-31,103.5
2023-08-31,108.5
