Data,contratos
2005-10-05,-4179.0
2005-10-06,-7134.0
2005-10-07,-4506.0
2005-10-10,-4662.0
2005-10-11,-13089.0
2005-10-12,-13089.0
2005-10-13,218.0
2005-10-14,-3910.0
2005-10-17,-6020.0
2005-10-18,-4805.0
2005-10-19,-5219.0
2005-10-20,-8335.0
2005-10-21,-8051.0
2005-10-24,-9668.0
2005-10-25,-7424.0
2005-10-26,-3512.0
2005-10-27,2835.0
2005-10-28,3016.0
2005-10-31,3421.0
2005-11-01,16896.0
2005-11-02,16896.0
2005-11-03,20843.0
2005-11-04,21578.0
2005-11-07,25986.0
2005-11-08,23499.0
2005-11-09,30016.0
2005-11-10,27429.0
2005-11-11,35069.0
2005-11-14,32688.0
2005-11-15,32688.0
2005-11-16,38756.0
2005-11-17,35448.0
2005-11-18,29235.0
2005-11-21,32605.0
2005-11-22,35904.0
2005-11-23,35218.0
2005-11-24,38491.0
2005-11-25,39339.0
2005-11-28,39899.0
2005-11-29,32353.0
2005-11-30,12102.0
2005-12-01,-16303.0
2005-12-02,-16219.0
2005-12-05,-22628.0
2005-12-06,-26868.0
2005-12-07,-37680.0
2005-12-08,-39367.0
2005-12-09,-45899.0
2005-12-12,-47881.0
2005-12-13,-50833.0
2005-12-14,-52570.0
2005-12-15,-63391.0
2005-12-16,-56828.0
2005-12-19,-53521.0
2005-12-20,-52125.0
2005-12-21,-60573.0
2005-12-22,-57475.0
2005-12-23,-65810.0
2005-12-26,-68425.0
2005-12-27,-70719.0
2005-12-28,-77500.0
2005-12-29,-93393.0
2005-12-30,-93393.0
2006-01-02,-31389.0
2006-01-03,-37236.0
2006-01-04,-38698.0
2006-01-05,-45254.0
2006-01-06,-57720.0
2006-01-09,-61092.0
2006-01-10,-77997.0
2006-01-11,-79516.0
2006-01-12,-83167.0
2006-01-13,-81641.0
2006-01-16,-80744.0
2006-01-17,-85725.0
2006-01-18,-80832.0
2006-01-19,-74908.0
2006-01-20,-85931.0
2006-01-23,-82023.0
2006-01-24,-84404.0
2006-01-25,-84404.0
2006-01-26,-85572.0
2006-01-27,-86311.0
2006-01-30,-87000.0
2006-01-31,-81496.0
2006-02-01,-77252.0
2006-02-02,-75956.0
2006-02-03,-74143.0
2006-02-06,-72497.0
2006-02-07,-73957.0
2006-02-08,-76057.0
2006-02-09,-75591.0
2006-02-10,-71255.0
2006-02-13,-75569.0
2006-02-14,-70874.0
2006-02-15,-69789.0
2006-02-16,-77546.0
2006-02-17,-72251.0
2006-02-20,-69359.0
2006-02-21,-63217.0
2006-02-22,-66457.0
2006-02-23,-65482.0
2006-02-24,-67503.0
2006-02-27,-67503.0
2006-02-28,-67503.0
2006-03-01,-39310.0
2006-03-02,-37018.0
2006-03-03,-31615.0
2006-03-06,-34362.0
2006-03-07,-30283.0
2006-03-08,-27126.0
2006-03-09,-25753.0
2006-03-10,-25143.0
2006-03-13,-30087.0
2006-03-14,-23029.0
2006-03-15,-26646.0
2006-03-16,-22624.0
2006-03-17,-11491.0
2006-03-20,-12179.0
2006-03-21,-1690.0
2006-03-22,-8703.0
2006-03-23,-1652.0
2006-03-24,-2107.0
2006-03-27,-3544.0
2006-03-28,6245.0
2006-03-29,6922.0
2006-03-30,19655.0
2006-03-31,19038.0
2006-04-03,21096.0
2006-04-04,19118.0
2006-04-05,17411.0
2006-04-06,15256.0
2006-04-07,18886.0
2006-04-10,-9673.0
2006-04-11,23586.0
2006-04-12,19996.0
2006-04-13,24028.0
2006-04-14,24028.0
2006-04-17,22037.0
2006-04-18,24488.0
2006-04-19,31764.0
2006-04-20,30572.0
2006-04-21,30572.0
2006-04-24,34044.0
2006-04-25,29545.0
2006-04-26,20837.0
2006-04-27,17341.0
2006-04-28,12892.0
2006-05-01,12892.0
2006-05-02,35123.0
2006-05-03,37516.0
2006-05-04,31168.0
2006-05-05,26829.0
2006-05-08,24165.0
2006-05-09,14836.0
2006-05-10,19531.0
2006-05-11,11641.0
2006-05-12,29906.0
