Date,brcoindx
2003-11-29,91.32
2003-11-30,94.54
2003-12-31,97.29
2004-01-31,93.51
2004-02-29,97.12
2004-03-31,101.58
2004-04-30,103.32
2004-05-31,112.08
2004-06-30,112.58
2004-07-31,107.88
2004-08-31,106.13
2004-09-30,104.61
2004-10-31,104.91
2004-11-30,103.13
2004-12-31,101.43
2005-01-31,101.11
2005-02-28,98.34
2005-03-31,106.82
2005-04-30,99.86
2005-05-31,93.24
2005-06-30,90.22
2005-07-31,88.68
2005-08-31,90.46
2005-09-30,90.96
2005-10-31,93.09
2005-11-30,91.8
2005-12-31,100.0
2006-01-31,101.81
2006-02-28,97.57
2006-03-31,93.81
2006-04-30,95.29
2006-05-31,99.12
2006-06-30,99.63
2006-07-31,99.75
2006-08-31,97.05
2006-09-30,94.66
2006-10-31,95.76
2006-11-30,99.88
2006-12-31,100.81
2007-01-31,99.11
2007-02-28,98.79
2007-03-31,109.99
2007-04-30,109.47
2007-05-31,107.62
2007-06-30,107.69
2007-07-31,107.71
2007-08-31,110.72
2007-09-30,112.79
2007-10-31,111.94
2007-11-30,112.84
2007-12-31,115.5
2008-01-31,120.76
2008-02-29,127.74
2008-03-31,130.82
2008-04-30,128.75
2008-05-31,128.83
2008-06-30,130.08
2008-07-31,129.38
2008-08-31,122.37
2008-09-30,124.78
2008-10-31,123.23
2008-11-30,113.84
2008-12-31,102.64
2009-01-31,113.2
2009-02-28,109.34
2009-03-31,107.46
2009-04-30,108.24
2009-05-31,109.6
2009-06-30,107.32
2009-07-31,105.63
2009-08-31,107.14
2009-09-30,103.89
2009-10-31,107.46
2009-11-30,110.55
2009-12-31,99.32
2010-01-31,104.3
2010-02-28,104.98
2010-03-31,98.57
2010-04-30,97.54
2010-05-31,95.55
2010-06-30,93.62
2010-07-31,95.15
2010-08-31,101.02
2010-09-30,106.02
2010-10-31,111.33
2010-11-30,119.42
2010-12-31,124.77
2011-01-31,130.91
2011-02-28,138.98
2011-03-31,137.43
2011-04-30,132.2
2011-05-31,124.55
2011-06-30,122.2
2011-07-31,120.4
2011-08-31,121.3
2011-09-30,130.73
2011-10-31,126.74
2011-11-30,125.01
2011-12-31,124.34
2012-01-31,125.05
2012-02-29,121.35
2012-03-31,124.59
2012-04-30,125.32
2012-05-31,127.16
2012-06-30,125.37
2012-07-31,135.17
2012-08-31,135.05
2012-09-30,135.45
2012-10-31,134.49
2012-11-30,135.41
2012-12-31,137.4
2013-01-31,135.46
2013-02-28,131.44
2013-03-31,129.05
2013-04-30,126.56
2013-05-31,127.26
2013-06-30,134.06
2013-07-31,137.1
2013-08-31,142.27
2013-09-30,138.26
2013-10-31,134.56
2013-11-30,138.24
2013-12-31,132.85
2014-01-31,143.73
2014-02-28,149.87
2014-03-31,151.9
2014-04-30,148.06
2014-05-31,145.16
2014-06-30,142.97
2014-07-31,140.32
2014-08-31,138.44
2014-09-30,139.83
2014-10-31,146.85
2014-11-30,151.32
2014-12-31,144.54
2015-01-31,137.64
2015-02-28,143.96
2015-03-31,155.69
2015-04-30,151.96
2015-05-31,153.7
2015-06-30,155.07
2015-07-31,160.33
2015-08-31,168.0
2015-09-30,183.62
2015-10-31,185.03
2015-11-30,176.15
2015-12-31,178.15
2016-01-31,183.39
2016-02-29,180.54
2016-03-31,170.41
2016-04-30,164.72
2016-05-31,166.25
2016-06-30,166.98
2016-07-31,158.77
2016-08-31,155.61
2016-09-30,158.33
2016-10-31,158.07
2016-11-30,166.76
2016-12-31,170.31
2017-01-31,165.23
2017-02-28,159.6
2017-03-31,156.07
2017-04-30,156.15
2017-05-31,160.04
2017-06-30,159.74
2017-07-31,157.57
2017-08-31,154.23
2017-09-30,157.54
2017-10-31,162.52
2017-11-30,171.15
2017-12-31,169.65
2018-01-31,171.2
2018-02-28,171.78
2018-03-31,169.09
2018-04-30,175.83
2018-05-31,191.92
2018-06-30,197.93
2018-07-31,197.04
2018-08-31,198.68
2018-09-30,210.59
2018-10-31,197.73
2018-11-30,192.92
2018-12-31,193.73
2019-01-31,186.91
2019-02-28,187.38
2019-03-31,192.19
2019-04-30,195.13
2019-05-31,191.27
2019-06-30,181.86
2019-07-31,180.49
2019-08-31,180.99
2019-09-30,190.45
2019-10-31,194.65
2019-11-30,204.27
2019-12-31,205.54
2020-01-31,207.56
2020-02-29,206.62
2020-03-31,197.72
2020-04-30,200.81
2020-05-31,225.52
2020-06-30,214.57
2020-07-31,229.77
2020-08-31,251.34
2020-09-30,252.69
2020-10-31,266.69
2020-11-30,267.0
2020-12-31,263.38
2021-01-31,291.18
2021-02-28,311.65
2021-03-31,328.22
2021-04-30,332.2
2021-05-31,335.87
2021-06-30,323.94
2021-07-31,340.69
2021-08-31,352.27
2021-09-30,360.47
2021-10-31,401.15
2021-11-30,399.81
2021-12-31,396.96
2022-01-31,408.84
2022-02-28,405.63
2022-03-31,423.39
2022-04-30,418.63
2022-05-31,432.11
2022-06-30,428.02
2022-07-31,417.62
2022-08-31,414.63
2022-09-30,408.91
2022-10-31,394.52
2022-11-30,399.49
2022-12-31,390.76
2023-01-31,380.67
2023-02-28,374.72
2023-03-31,364.06
2023-04-30,362.44
2023-05-31,345.47
2023-06-30,342.8
2023-07-31,349.1
2023-08-31,359.08
2023-09-30,372.47
