Date,USDBRL,Dias
2003-10-06,2.8625,1
2003-10-07,2.859,2
2003-10-08,2.845,3
2003-10-09,2.8315,4
2003-10-10,2.831,5
2003-10-13,2.835,6
2003-10-14,2.833,7
2003-10-15,2.838,8
2003-10-16,2.851,9
2003-10-17,2.868,10
2003-10-20,2.869,11
2003-10-21,2.8473,12
2003-10-22,2.8608,13
2003-10-23,2.862,14
2003-10-24,2.87,15
2003-10-27,2.8688,16
2003-10-28,2.8532,17
2003-10-29,2.8395,18
2003-10-30,2.8482,19
2003-10-31,2.8675,20
2003-11-03,2.853,21
2003-11-04,2.8578,22
2003-11-05,2.868,23
2003-11-06,2.8715,24
2003-11-07,2.867,25
2003-11-10,2.8883,26
2003-11-11,2.9083,27
2003-11-12,2.9035,28
2003-11-13,2.9475,29
2003-11-14,2.9425,30
2003-11-17,2.9415,31
2003-11-18,2.9405,32
2003-11-19,2.9405,33
2003-11-20,2.9387,34
2003-11-21,2.9185,35
2003-11-24,2.9172,36
2003-11-25,2.9335,37
2003-11-26,2.9465,38
2003-11-27,2.9379,39
2003-11-28,2.946,40
2003-12-01,2.923,41
2003-12-02,2.9315,42
2003-12-03,2.9338,43
2003-12-04,2.9447,44
2003-12-05,2.937,45
2003-12-08,2.9403,46
2003-12-09,2.9388,47
2003-12-10,2.9475,48
2003-12-11,2.937,49
2003-12-12,2.9345,50
2003-12-15,2.9195,51
2003-12-16,2.9365,52
2003-12-17,2.9305,53
2003-12-18,2.9345,54
2003-12-19,2.9225,55
2003-12-22,2.9195,56
2003-12-23,2.9095,57
2003-12-24,2.909,58
2003-12-25,2.908,59
2003-12-26,2.8985,60
2003-12-29,2.867,61
2003-12-30,2.9069,62
2003-12-31,2.8915,63
2004-01-01,2.8915,64
2004-01-02,2.879,65
2004-01-05,2.8503,66
2004-01-06,2.864,67
2004-01-07,2.855,68
2004-01-08,2.847,69
2004-01-09,2.833,70
2004-01-12,2.782,71
2004-01-13,2.815,72
2004-01-14,2.8144,73
2004-01-15,2.8145,74
2004-01-16,2.829,75
2004-01-19,2.838,76
2004-01-20,2.8375,77
2004-01-21,2.84,78
2004-01-22,2.8378,79
2004-01-23,2.841,80
2004-01-26,2.85,81
2004-01-27,2.8675,82
2004-01-28,2.9075,83
2004-01-29,2.931,84
2004-01-30,2.9345,85
2004-02-02,2.9305,86
